Date,PortfolioValue,Positions
1995-06-06,5000000.0,0
1995-06-07,5000000.0,0
1995-06-08,5000000.0,0
1995-06-09,5000000.0,0
1995-06-12,5000000.0,0
1995-06-13,5000000.0,0
1995-06-14,5000000.0,0
1995-06-15,5000000.0,0
1995-06-16,5000000.0,0
1995-06-19,5000000.0,0
1995-06-20,5000000.0,0
1995-06-21,5000000.0,0
1995-06-22,5000000.0,0
1995-06-23,5000000.0,0
1995-06-26,5000000.0,0
1995-06-27,5000000.0,0
1995-06-28,5000000.0,0
1995-06-29,5000000.0,0
1995-06-30,5000000.0,0
1995-07-03,5000000.0,0
1995-07-04,5000000.0,0
1995-07-05,5000000.0,0
1995-07-06,5000000.0,0
1995-07-07,5000000.0,0
1995-07-10,5000000.0,0
1995-07-11,5000000.0,0
1995-07-12,5000000.0,0
1995-07-13,5000000.0,0
1995-07-14,5000000.0,0
1995-07-17,5000000.0,0
1995-07-18,5000000.0,0
1995-07-19,5000000.0,0
1995-07-20,5000000.0,0
1995-07-21,5000000.0,0
1995-07-25,5000000.0,0
1995-07-26,5000000.0,0
1995-07-27,5000000.0,0
1995-07-28,5000000.0,0
1995-07-31,5000000.0,0
1995-08-01,5000000.0,0
1995-08-02,5000000.0,0
1995-08-03,5000000.0,0
1995-08-04,5000000.0,0
1995-08-07,5000000.0,0
1995-08-08,5000000.0,0
1995-08-09,5000000.0,0
1995-08-11,5000000.0,0
1995-08-14,5000000.0,0
1995-08-16,5000000.0,0
1995-08-17,5000000.0,0
1995-08-21,5000000.0,0
1995-08-22,5000000.0,0
1995-08-24,5000000.0,0
1995-08-25,5000000.0,0
1995-08-28,5000000.0,0
1995-08-31,5000000.0,0
1995-09-01,5000000.0,0
1995-09-04,5000000.0,0
1995-09-05,5000000.0,0
1995-09-06,5000000.0,0
1995-09-07,5000000.0,0
1995-09-08,5000000.0,0
1995-09-11,5000000.0,0
1995-09-12,5000000.0,0
1995-09-13,5000000.0,0
1995-09-14,5000000.0,0
1995-09-15,5000000.0,0
1995-09-18,5000000.0,0
1995-09-19,5000000.0,0
1995-09-20,5000000.0,0
1995-09-21,5000000.0,0
1995-09-22,5000000.0,0
1995-09-25,5000000.0,0
1995-09-26,5000000.0,0
1995-09-27,5000000.0,0
1995-09-28,5000000.0,0
1995-09-29,5000000.0,0
1995-10-04,5000000.0,0
1995-10-05,5000000.0,0
1995-10-06,5000000.0,0
1995-10-09,5000000.0,0
1995-10-10,5000000.0,0
1995-10-11,5000000.0,0
1995-10-12,5000000.0,0
1995-10-13,5000000.0,0
1995-10-16,5000000.0,0
1995-10-17,5000000.0,0
1995-10-18,5000000.0,0
1995-10-19,5000000.0,0
1995-10-20,5000000.0,0
1995-10-23,5000000.0,0
1995-10-26,5000000.0,0
1995-10-27,5000000.0,0
1995-10-30,5000000.0,0
1995-10-31,5000000.0,0
1995-11-01,5000000.0,0
1995-11-02,5000000.0,0
1995-11-03,5000000.0,0
1995-11-06,5000000.0,0
1995-11-08,5000000.0,0
1995-11-09,5000000.0,0
1995-11-10,5000000.0,0
1995-11-13,5000000.0,0
1995-11-14,5000000.0,0
1995-11-15,5000000.0,0
1995-11-16,5000000.0,0
1995-11-17,5000000.0,0
1995-11-20,5000000.0,0
1995-11-21,5000000.0,0
1995-11-22,5000000.0,0
1995-11-23,5000000.0,0
1995-11-24,5000000.0,0
1995-11-27,5000000.0,0
1995-11-28,5000000.0,0
1995-11-29,5000000.0,0
1995-11-30,5000000.0,0
1995-12-01,5000000.0,0
1995-12-04,5000000.0,0
1995-12-05,5000000.0,0
1995-12-06,5000000.0,0
1995-12-07,5000000.0,0
1995-12-08,5000000.0,0
1995-12-11,5000000.0,0
1995-12-12,5000000.0,0
1995-12-13,5000000.0,0
1995-12-14,5000000.0,0
1995-12-15,5000000.0,0
1995-12-18,5000000.0,0
1995-12-19,5000000.0,0
1995-12-20,5000000.0,0
1995-12-21,5000000.0,0
1995-12-22,5000000.0,0
1996-01-01,5000000.0,0
1996-01-02,5000000.0,0
1996-01-03,5000000.0,0
1996-01-04,5000000.0,0
1996-01-05,5000000.0,0
1996-01-08,5000000.0,0
1996-01-09,5000000.0,0
1996-01-10,5000000.0,0
1996-01-11,5000000.0,0
1996-01-12,5000000.0,0
1996-01-15,5000000.0,0
1996-01-16,5000000.0,0
1996-01-17,5000000.0,0
1996-01-18,5000000.0,0
1996-01-19,5000000.0,0
1996-01-22,5000000.0,0
1996-01-23,5000000.0,0
1996-01-24,5000000.0,0
1996-01-25,5000000.0,0
1996-01-29,5000000.0,0
1996-01-30,5000000.0,0
1996-01-31,5000000.0,0
1996-02-01,5000000.0,0
1996-02-02,5000000.0,0
1996-02-05,5000000.0,0
1996-02-06,5000000.0,0
1996-02-07,5000000.0,0
1996-02-08,5000000.0,0
1996-02-09,5000000.0,0
1996-02-12,5000000.0,0
1996-02-13,5000000.0,0
1996-02-14,5000000.0,0
1996-02-15,5000000.0,0
1996-02-16,5000000.0,0
1996-02-19,5000000.0,0
1996-02-20,5000000.0,0
1996-02-22,5000000.0,0
1996-02-23,5000000.0,0
1996-02-26,5000000.0,0
1996-02-27,5000000.0,0
1996-02-28,5000000.0,0
1996-02-29,5000000.0,0
1996-03-01,4987457.773042601,1
1996-03-04,4997266.3430426,1
1996-03-06,5002011.2830426,1
1996-03-07,4990503.0330426,1
1996-03-08,4970390.1530426,1
1996-03-11,4940079.1930426005,1
1996-03-12,4931297.5130426,1
1996-03-13,4958173.7030426,1
1996-03-14,4966919.9730426,1
1996-03-15,4945284.4630426,1
1996-03-18,4915433.8330426,1
1996-03-19,4895002.2630426,1
1996-03-21,4914194.4830426,1
1996-03-22,4896808.1730426,1
1996-03-25,4896206.2030426,1
1996-03-26,4897126.8630426,1
1996-03-27,4926906.6730426,1
1996-03-29,4979242.6530426,1
1996-04-02,5012705.103042601,1
1996-04-03,5028604.1930426005,1
1996-04-04,5022088.7530426,1
1996-04-05,5047761.0030426,1
1996-04-08,5075345.3930426,1
1996-04-09,5073008.3330426,1
1996-04-10,5062704.023042601,1
1996-04-11,5052895.4530426,1
1996-04-12,5069042.413042599,1
1996-04-15,5107780.9530426,1
1996-04-16,5130620.4030426,1
1996-04-17,5198855.4730426,1
1996-04-18,5249456.3630426,1
1996-04-22,5238585.493042599,1
1996-04-23,5240037.3030426,1
1996-04-24,5339610.2230426,1
1996-04-25,5332634.4530426,1
1996-04-26,5287345.0630426,1
1996-04-30,5307457.9430426005,1
1996-05-02,5317018.6430426,1
1996-05-03,5292408.6930426005,1
1996-05-06,5246765.2030426,1
1996-05-08,5284512.2630426,1
1996-05-09,5246623.5630426,1
1996-05-10,5227431.3430426,1
1996-05-13,5252253.7530426,1
1996-05-14,5277819.773042601,1
1996-05-15,5276297.1430426,1
1996-05-16,5299349.0530426,1
1996-05-17,5270985.6430426,1
1996-05-20,5218897.5330426,1
1996-05-21,5196483.0030426,1
1996-05-22,5194854.1430426,1
1996-05-23,5189719.6930426005,1
1996-05-24,5199244.9830426,1
1996-05-27,5159302.5030426,1
1996-05-28,5142801.4430426005,1
1996-05-29,5210965.6930426005,1
1996-05-30,5188338.7030426,1
1996-05-31,5199634.493042599,1
1996-06-03,5239683.2030426,1
1996-06-04,5237169.0930426,1
1996-06-05,5244286.5030426,1
1996-06-06,5265603.3230425995,1
1996-06-07,5278280.103042601,1
1996-06-10,5298215.933042601,1
1996-06-11,5306820.5630426,1
1996-06-12,5333023.9630426,1
1996-06-13,5365317.8830426,1
1996-06-14,5419388.9530426,1
1996-06-17,5431569.993042599,1
1996-06-18,5427037.5130426,1
1996-06-19,5374630.7130426,1
1996-06-20,5374489.0730425995,1
1996-06-21,5325835.7330426,1
1996-06-24,5334121.6730426,1
1996-06-25,5297011.993042599,1
1996-06-26,5272933.1930426005,1
1996-06-27,5295383.1330426,1
1996-06-28,5283060.4530426,1
1996-07-01,5250872.7630426,1
1996-07-02,5235256.9530426,1
1996-07-03,5186072.4630426,1
1996-07-04,5198041.0430426,1
1996-07-05,5210186.6730426,1
1996-07-08,5224740.183042601,1
1996-07-09,5168863.2030426,1
1996-07-10,5176865.8630426,1
1996-07-11,5196058.0830426,1
1996-07-12,5182566.8730426,1
1996-07-15,5180867.1930426005,1
1996-07-16,5156151.0130426,1
1996-07-17,5189648.8730426,1
1996-07-18,5206928.9530426,1
1996-07-19,5202998.4430426005,1
1996-07-22,5236071.3830426,1
1996-07-23,5153955.5930426,1
1996-07-24,5108418.3330426,1
1996-07-25,5096237.2930426,1
1996-07-26,5071131.603042601,1
1996-07-29,5023221.8730426,1
1996-07-30,4980517.413042599,1
1996-07-31,5031012.0730425995,1
1996-08-01,5037350.4630426,1
1996-08-02,5021947.1130426,1
1996-08-05,5012209.3630426,1
1996-08-06,5007570.6530426,1
1996-08-07,5036500.6230426,1
1996-08-08,5020495.3030426,1
1996-08-09,5013944.4530426,1
1996-08-12,4990892.5430426,1
1996-08-13,4979065.603042601,1
1996-08-14,4951268.7530426,1
1996-08-16,4923330.2630426,1
1996-08-19,4859202.7530426,1
1996-08-20,4861327.353042601,1
1996-08-21,4908918.3930426,1
1996-08-22,4908847.5730425995,1
1996-08-23,4932076.5330426,1
1996-08-26,4931545.3830426,1
1996-08-27,4933882.4430426005,1
1996-08-29,4968442.603042601,1
1996-08-30,4971169.1730426,1
1996-09-02,4977153.4630426,1
1996-09-03,4940681.163042599,1
1996-09-04,4948400.5430426,1
1996-09-06,4949285.7930426,1
1996-09-09,4926340.1130426,1
1996-09-10,4902296.7230426,1
1996-09-11,4870852.6430426,1
1996-09-12,4870711.0030426,1
1996-09-13,4846986.3030426,1
1996-09-18,4861362.7630426,1
1996-09-19,4833353.4530426,1
1996-09-20,4824819.6430426,1
1996-09-23,4807504.1530426,1
1996-09-24,4803715.2830426,1
1996-09-25,4800457.5630426,1
1996-09-26,4774218.7530426,1
1996-09-27,4741145.8130426,1
1996-09-30,4717456.523042601,1
1996-10-01,4707683.3630426,1
1996-10-03,4686224.9030426,1
1996-10-04,4632968.2630426,1
1996-10-07,4561864.9830426,1
1996-10-08,4567459.7630426,1
1996-10-09,4580278.1830426,1
1996-10-10,4642316.5030426,1
1996-10-11,4671777.6230426,1
1996-10-14,4631693.5030426,1
1996-10-15,4630949.8930426,1
1996-10-16,4625425.933042601,1
1996-10-17,4623336.743042599,1
1996-10-18,4632826.6230426,1
1996-10-22,4685870.8030426,1
1996-10-23,4723167.9435826,0
1996-10-24,4723167.9435826,0
1996-10-25,4723167.9435826,0
1996-10-28,4723167.9435826,0
1996-10-29,4723167.9435826,0
1996-10-30,4723167.9435826,0
1996-10-31,4723167.9435826,0
1996-11-01,4723167.9435826,0
1996-11-04,4723167.9435826,0
1996-11-05,4723167.9435826,0
1996-11-06,4723167.9435826,0
1996-11-07,4723167.9435826,0
1996-11-10,4723167.9435826,0
1996-11-13,4723167.9435826,0
1996-11-14,4723167.9435826,0
1996-11-15,4723167.9435826,0
1996-11-18,4723167.9435826,0
1996-11-19,4723167.9435826,0
1996-11-20,4723167.9435826,0
1996-11-21,4723167.9435826,0
1996-11-22,4723167.9435826,0
1996-11-25,4723167.9435826,0
1996-11-26,4723167.9435826,0
1996-11-27,4723167.9435826,0
1996-11-28,4723167.9435826,0
1996-11-29,4723167.9435826,0
1996-12-02,4723167.9435826,0
1996-12-03,4723167.9435826,0
1996-12-04,4723167.9435826,0
1996-12-05,4723167.9435826,0
1996-12-06,4723167.9435826,0
1996-12-09,4723167.9435826,0
1996-12-10,4723167.9435826,0
1996-12-11,4723167.9435826,0
1996-12-12,4723167.9435826,0
1996-12-13,4723167.9435826,0
1996-12-16,4723167.9435826,0
1996-12-17,4723167.9435826,0
1996-12-18,4723167.9435826,0
1996-12-19,4723167.9435826,0
1996-12-20,4723167.9435826,0
1996-12-23,4723167.9435826,0
1996-12-24,4723167.9435826,0
1997-01-01,4723167.9435826,0
1997-01-02,4723167.9435826,0
1997-01-03,4723167.9435826,0
1997-01-06,4723167.9435826,0
1997-01-07,4723167.9435826,0
1997-01-08,4723167.9435826,0
1997-01-09,4723167.9435826,0
1997-01-10,4723167.9435826,0
1997-01-13,4723167.9435826,0
1997-01-14,4723167.9435826,0
1997-01-15,4723167.9435826,0
1997-01-16,4723167.9435826,0
1997-01-17,4723167.9435826,0
1997-01-20,4723167.9435826,0
1997-01-21,4723167.9435826,0
1997-01-22,4723167.9435826,0
1997-01-24,4723167.9435826,0
1997-01-27,4723167.9435826,0
1997-01-28,4723167.9435826,0
1997-01-29,4723167.9435826,0
1997-01-30,4723167.9435826,0
1997-01-31,4739833.336249599,1
1997-02-03,4707587.1362496,1
1997-02-04,4715091.4362496,1
1997-02-05,4721146.8862496,1
1997-02-06,4742991.086249599,1
1997-02-07,4743102.536249599,1
1997-02-10,4754136.086249599,1
1997-02-11,4793143.586249599,1
1997-02-12,4787162.4362496,1
1997-02-13,4793700.836249599,1
1997-02-14,4805143.0362496,1
1997-02-17,4836720.5362496,1
1997-02-18,4804325.7362496,1
1997-02-19,4798641.7862496,1
1997-02-20,4781329.8862496,1
1997-02-21,4748600.7362496,1
1997-02-24,4702163.2362496,1
1997-02-25,4697593.786249599,1
1997-02-26,4701494.5362496,1
1997-02-27,4739796.1862496,1
1997-02-28,4862614.086249599,1
1997-03-01,5006124.5362496,1
1997-03-03,5042234.336249599,1
1997-03-04,5073663.2362496,1
1997-03-05,5074740.586249599,1
1997-03-06,5037516.286249599,1
1997-03-10,4970386.2362496,1
1997-03-11,4929632.6862496,1
1997-03-12,4957532.336249599,1
1997-03-13,4952517.086249599,1
1997-03-14,4938028.586249599,1
1997-03-17,4962919.086249599,1
1997-03-18,4960912.9862496,1
1997-03-19,4904556.4362496,1
1997-03-20,4921422.536249599,1
1997-03-21,4916370.1362496,1
1997-03-25,4940108.9862496,1
1997-03-26,4926252.0362496,1
1997-03-27,4929224.0362496,1
1997-03-28,4893188.536249599,1
1997-03-31,4707401.3862496,1
1997-04-01,4741579.3862496,1
1997-04-02,4814207.6362496,1
1997-04-03,4832745.4862496,1
1997-04-04,4820857.4862496,1
1997-04-07,4788314.086249599,1
1997-04-09,4868037.9862496,1
1997-04-10,4824683.9362496,1
1997-04-11,4841178.536249599,1
1997-04-12,4821749.086249599,1
1997-04-15,4842404.4862496,1
1997-04-17,4886390.086249599,1
1997-04-21,4928555.336249599,1
1997-04-22,4941409.2362496,1
1997-04-23,4946795.9862496,1
1997-04-24,4941186.336249599,1
1997-04-25,4947836.1862496,1
1997-04-28,4951216.836249599,1
1997-04-29,4931267.286249599,1
1997-04-30,4962844.786249599,1
1997-05-02,4942300.836249599,1
1997-05-05,4927217.9362496,1
1997-05-06,4926512.086249599,1
1997-05-07,4926846.4362496,1
1997-05-09,4943489.6362496,1
1997-05-12,4941929.336249599,1
1997-05-13,4924208.786249599,1
1997-05-14,4947204.6362496,1
1997-05-15,4941966.4862496,1
1997-05-16,4939217.3862496,1
1997-05-19,4950771.036249599,1
1997-05-20,4939068.786249599,1
1997-05-21,4922276.9862496,1
1997-05-22,4917075.9862496,1
1997-05-23,4899578.336249599,1
1997-05-26,4895306.086249599,1
1997-05-27,4883938.1862496,1
1997-05-28,4879591.6362496,1
1997-05-29,4896123.3862496,1
1997-05-30,4911317.7362496,1
1997-06-02,4942969.5362496,1
1997-06-03,4950102.336249599,1
1997-06-04,4965370.9862496,1
1997-06-05,4969977.586249599,1
1997-06-06,4948430.586249599,1
1997-06-09,4950065.1862496,1
1997-06-10,4965519.586249599,1
1997-06-11,5006458.8862496,1
1997-06-12,5042494.3862496,1
1997-06-13,5069985.3862496,1
1997-06-16,5069093.786249599,1
1997-06-17,5098813.786249599,1
1997-06-18,5100857.0362496,1
1997-06-19,5102157.286249599,1
1997-06-20,5102863.1362496,1
1997-06-23,5110813.2362496,1
1997-06-24,5121921.086249599,1
1997-06-25,5111890.586249599,1
1997-06-26,5117611.6862496,1
1997-06-27,5115679.8862496,1
1997-06-30,5197484.1862496,1
1997-07-01,5216282.086249599,1
1997-07-02,5238051.9862496,1
