Date,Symbol,Side,Qty,ExecPrice
1996-03-04,NSE500,BUY,3541.0,704.105
1996-10-24,NSE500,SELL,3541.0,629.5
1997-02-03,NSE500,BUY,3715.0,633.965
1998-02-27,NSE500,SELL,3715.0,653.34
1998-04-30,NSE500,BUY,3185.0,748.7425000000001
1998-09-25,NSE500,SELL,3185.0,636.9425
1999-02-03,NSE500,BUY,3367.0,653.7375000000001
2000-06-20,NSE500,SELL,3367.0,1104.97
2001-02-26,NSE500,BUY,3158.0,934.23
2001-05-18,NSE500,SELL,3158.0,788.405
2001-12-20,NSE500,BUY,3873.0,700.6750000000001
2002-11-20,NSE500,SELL,3873.0,711.2625
2003-01-27,NSE500,BUY,3630.0,751.3
2003-05-06,NSE500,SELL,3630.0,715.4125
2003-07-22,NSE500,BUY,3012.0,881.3875
2005-06-20,N500MOM 50,BUY,2579.0,1029.39
2006-08-10,N500MOM 50,SELL,2579.0,2123.9449999999997
2006-09-12,N500Q 50,BUY,3670.0,1484.62
2007-03-23,NSE500,SELL,3012.0,3175.0499999999997
2007-05-14,N500LOWVOL 50,BUY,3955.0,1987.215
2007-06-07,N500VALUE 50,BUY,1067.0,1548.5449999999998
2008-04-21,N500VALUE 50,SELL,1067.0,1912.145
2008-05-05,N500LOWVOL 50,SELL,3955.0,2458.09
2008-05-14,N500LOWVOL 50,BUY,3845.0,2414.465
2008-08-06,N500Q 50,SELL,3670.0,1708.895
2008-08-06,N500LOWVOL 50,SELL,3845.0,2214.5200000000004
2009-06-18,N500VALUE 50,BUY,4655.0,1839.185
2009-06-18,NSE500,BUY,2478.0,3454.4750000000004
2009-06-19,N500LOWVOL 50,BUY,1.0,2213.625
2011-01-04,N500VALUE 50,SELL,4655.0,3374.945
2011-01-10,N500Q 50,BUY,4584.0,2985.2850000000003
2011-03-28,NSE500,SELL,2478.0,4506.475
2011-03-28,N500LOWVOL 50,SELL,1.0,3447.52
2011-03-28,N500Q 50,SELL,4584.0,2838.4399999999996
2011-05-02,N500LOWVOL 50,BUY,3696.0,3516.3
2011-05-02,N500MOM 50,BUY,3307.0,3929.1549999999997
2011-05-02,N500Q 50,BUY,1.0,2931.9449999999997
2011-06-01,N500MOM 50,SELL,3307.0,3916.26
2011-06-17,N500MOM 50,BUY,3313.0,3840.07
2011-07-29,NSE500,BUY,36.0,4437.7
2011-10-31,N500LOWVOL 50,SELL,3696.0,3294.79
2011-10-31,N500Q 50,SELL,1.0,2753.55
2011-10-31,NSE500,SELL,36.0,4221.275
2012-02-28,N500LOWVOL 50,BUY,3595.0,3380.01
2012-02-28,N500Q 50,BUY,41.0,2843.34
2013-04-17,N500LOWVOL 50,SELL,3595.0,3784.34
2013-05-24,N500LOWVOL 50,BUY,3372.0,4012.905
2015-10-01,N500MOM 50,SELL,3313.0,10092.55
2015-10-01,N500Q 50,SELL,41.0,5980.16
2015-10-06,N500LOWVOL 50,SELL,3372.0,5922.9
2015-10-30,N500MOM 50,BUY,2623.0,10172.1
2015-10-30,N500VALUE 50,BUY,7519.0,3548.405
2015-11-05,N500LOWVOL 50,BUY,1.0,5834.77
2015-12-02,N500VALUE 50,SELL,7519.0,3556.96
2016-04-20,N500MOM 50,SELL,2623.0,9734.904999999999
2016-05-05,N500MOM 50,BUY,2755.0,9436.285
2016-05-05,N500Q 50,BUY,4483.0,5799.8099999999995
2018-08-01,N500MOM 50,SELL,2755.0,15960.25
2018-09-11,N500MOM 50,BUY,2448.0,16288.850000000002
2018-09-11,NSE500,BUY,398.0,9687.387499999999
2018-11-05,N500LOWVOL 50,SELL,1.0,7657.455
2018-11-20,NSE500,SELL,398.0,8995.45
2019-01-03,N500LOWVOL 50,BUY,450.0,7941.294999999999
2019-06-04,N500Q 50,SELL,4483.0,7576.6
2019-06-11,N500VALUE 50,BUY,7747.0,4361.049999999999
2019-10-22,N500MOM 50,SELL,2448.0,15006.349999999999
2019-10-22,N500VALUE 50,SELL,7747.0,3533.0550000000003
2019-11-19,N500Q 50,BUY,4555.0,7420.554999999999
2019-12-09,N500MOM 50,BUY,1936.0,15473.400000000001
